Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.37675166,30.1024971,0.38847134,0.40301603,16.08355522,1.76775002,0.49920478,0.92611426,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3768091,30.07130623,0.38810623,0.40354377,14.55470753,1.87760258,0.37206289,0.71997023,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37686654,30.09137917,0.38826361,0.40644124,13.04584694,1.87760258,0.2559658,0.71997023,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37692397,30.14243698,0.38823524,0.40255526,12.08088112,1.87760999,0.2559658,0.58262557,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37698141,30.18718529,0.38772598,0.4046264,12.14036465,2.16797781,0.15708739,0.44760907,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37703885,30.20532227,0.38769969,0.40948492,12.22075462,2.100281,0.10956293,0.44760907,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37709629,30.25619316,0.38875258,0.40219894,12.22075462,2.12706184,0.08724079,0.44760907,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37715372,30.24179077,0.38753986,0.40160948,12.22075999,2.12706184,0.07169998,0.33163524,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37721115,30.20220184,0.38848081,0.40550077,12.22075999,2.18901372,0.04329577,0.33163524,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37726859,30.13575363,0.38815895,0.40188232,12.22075999,2.21187091,0.02752954,0.29629096,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37732603,30.21890068,0.38786173,0.40637586,158.23509216,2.2409277,0.02937868,0.28763339,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37738347,30.22118378,0.38820711,0.41103208,154.52561951,2.24492884,0.0205912,0.29346505,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37744091,30.25274467,0.38818976,0.40318394,127.98730469,2.24492884,0.0205912,0.28285047,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37749836,30.20565224,0.38815382,0.40583345,127.98730469,2.30939388,0.00394675,0.28033486,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37755579,30.28621483,0.38824248,0.40285096,127.98730999,2.41235065,0.02066791,0.28163591,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37761321,30.41435623,0.38828951,0.4059906,62.54989624,2.41235065,0.01898524,0.4640573,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37767065,30.4444294,0.38828337,0.41032657,51.69716644,2.41235999,0.00269938,1.50991178,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37772809,30.34812164,0.38820961,0.40921429,44.49562836,2.41235999,0.0,1.50991178,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37778554,30.31183243,0.38811243,0.40436071,44.49562836,2.41235999,0.0,2.63400078,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37784297,30.47852707,0.38882113,0.40549296,36.63629532,2.39280725,0.0,1.93404245,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37790058,30.46296501,0.38832942,0.40820491,34.24116898,2.39280725,0.0,1.39955747,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37795844,30.34998703,0.38820958,0.40767393,32.50561905,2.38030529,9.99e-06,2.25038528,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3780163,30.34260178,0.38822207,0.40678352,31.42861557,2.38030529,9.99e-06,2.25038528,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37807417,30.36907196,0.38820854,0.40769818,30.78439713,2.38030999,0.0,1.74732947,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37813205,30.36410904,0.38834426,0.40425542,30.78439713,2.38936734,0.0,2.4434638,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37818992,30.27999115,0.38825414,0.4069759,29.51979446,2.38714099,0.0,2.4434638,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
